                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1649,                 5.2081,                 1.5975,                0.61587,                 0.5918,                0.71609,                0.53552,                0.90441,                 6.4443,                 1.4849,             0.00016362,             0.00016362,             0.00016362
                      2,                0.76457,                 1.3632,                 1.2711,                0.83645,                  0.846,                0.84288,                0.68543,                0.79964,                 3.9838,                  1.403,             0.00032523,             0.00032523,             0.00032523
                      3,                0.79447,                 1.0353,                 1.2587,                0.85729,                0.97398,                0.91786,                0.63603,                0.91091,                 2.0913,                 1.5712,             0.00047544,             0.00047544,             0.00047544
                      4,                0.75853,                0.79941,                  1.237,                0.68429,                0.93051,                0.84223,                0.55773,                  1.207,                 1.6028,                 2.1335,             0.00061426,             0.00061426,             0.00061426
                      5,                0.80237,                0.77966,                 1.2777,                0.77414,                0.90963,                0.96048,                0.74904,                0.84776,                 1.2706,                 1.4863,             0.00074167,             0.00074167,             0.00074167
                      6,                0.83844,                0.83554,                 1.2921,                0.87722,                0.88374,                0.94627,                0.68789,                0.97896,                 1.3048,                 1.9219,             0.00075902,             0.00075902,             0.00075902
                      7,                0.82384,                0.79455,                  1.279,                0.80645,                0.96959,                0.97119,                0.70546,                0.95445,                 1.2603,                 1.7397,             0.00075902,             0.00075902,             0.00075902
                      8,                0.81723,                0.73781,                 1.2747,                0.68936,                0.89286,                0.83552,                0.65087,                0.82287,                0.99824,                 1.4203,             0.00072902,             0.00072902,             0.00072902
                      9,                0.74435,                0.64831,                 1.2208,                0.87532,                0.81176,                0.95929,                0.77157,                0.74496,                0.86776,                 1.3602,             0.00069902,             0.00069902,             0.00069902
                     10,                0.77844,                0.66236,                 1.2437,                0.91288,                0.96079,                0.98786,                0.79754,                0.75915,                0.72056,                 1.3614,             0.00066902,             0.00066902,             0.00066902
                     11,                0.78635,                0.64334,                 1.2383,                0.90003,                0.95169,                0.94048,                0.75994,                0.72038,                0.61179,                 1.2899,             0.00063903,             0.00063903,             0.00063903
                     12,                0.76596,                0.63786,                 1.2074,                0.86976,                0.97596,                  0.995,                0.79373,                0.67846,                0.59505,                 1.3026,             0.00060903,             0.00060903,             0.00060903
                     13,                0.70841,                0.54565,                 1.1869,                 0.8856,                0.95903,                  0.995,                0.81883,                0.68579,                 0.6821,                   1.28,             0.00057903,             0.00057903,             0.00057903
                     14,                  0.725,                0.56714,                  1.197,                0.90396,                0.96429,                0.92126,                0.78679,                0.65246,                0.50765,                  1.264,             0.00054904,             0.00054904,             0.00054904
                     15,                 0.7187,                0.58559,                 1.2099,                0.93395,                0.96429,                0.96821,                0.82617,                0.68007,                0.53047,                 1.2598,             0.00051904,             0.00051904,             0.00051904
                     16,                0.67886,                0.55354,                 1.1509,                0.96805,                0.96429,                0.97969,                0.84769,                0.66242,                0.48651,                 1.2805,             0.00048904,             0.00048904,             0.00048904
                     17,                0.65784,                0.53672,                 1.1768,                0.86379,                0.95945,                0.96135,                0.86035,                0.65252,                0.52467,                 1.2919,             0.00045904,             0.00045904,             0.00045904
                     18,                0.67923,                0.55093,                 1.1703,                0.89029,                0.98801,                0.97119,                0.85993,                 0.5978,                0.51894,                 1.1917,             0.00042905,             0.00042905,             0.00042905
                     19,                0.65569,                0.50014,                 1.1447,                0.92282,                      1,                  0.995,                0.86781,                0.57628,                0.43217,                  1.158,             0.00039905,             0.00039905,             0.00039905
                     20,                0.62052,                0.49093,                 1.1429,                0.92436,                0.96429,                0.97227,                0.83404,                0.67884,                0.46851,                 1.2206,             0.00036905,             0.00036905,             0.00036905
                     21,                0.53561,                0.46762,                 1.1805,                0.94088,                0.96429,                0.96047,                0.83819,                0.67658,                0.48735,                 1.2415,             0.00033906,             0.00033906,             0.00033906
                     22,                0.48062,                0.40754,                 1.1238,                0.94329,                0.96429,                0.94108,                 0.8463,                 0.5755,                   0.43,                 1.1601,             0.00030906,             0.00030906,             0.00030906
                     23,                0.45269,                0.38324,                 1.1122,                0.94114,                 0.9641,                0.93634,                0.82309,                 0.5912,                0.43482,                 1.1744,             0.00027906,             0.00027906,             0.00027906
                     24,                0.45271,                0.33787,                 1.1085,                 0.9087,                0.96429,                0.94653,                0.83548,                 0.6381,                0.45453,                 1.2015,             0.00024907,             0.00024907,             0.00024907
                     25,                0.43888,                 0.3217,                 1.0798,                0.94631,                0.96429,                0.94714,                0.83942,                 0.6037,                0.44366,                  1.177,             0.00021907,             0.00021907,             0.00021907
                     26,                0.43996,                0.31322,                 1.0713,                0.94168,                0.96429,                0.94342,                0.84835,                0.57839,                0.41013,                 1.1578,             0.00018907,             0.00018907,             0.00018907
                     27,                0.42323,                0.29793,                 1.0657,                0.93842,                0.96429,                0.97969,                0.87423,                0.58445,                0.37782,                 1.1225,             0.00015907,             0.00015907,             0.00015907
                     28,                0.40947,                0.28088,                 1.0582,                 0.9484,                0.97155,                0.98786,                0.90877,                0.52626,                0.35195,                 1.0738,             0.00012908,             0.00012908,             0.00012908
                     29,                0.41532,                0.27452,                 1.0525,                0.95275,                0.97146,                0.98786,                0.90864,                0.54076,                0.32566,                 1.0797,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     30,                0.38708,                0.26106,                 1.0005,                0.95017,                0.96429,                0.98786,                0.89065,                0.55995,                0.30065,                 1.1019,             6.9084e-05,             6.9084e-05,             6.9084e-05
